Country,January,February,March,April ,May ,June ,July ,August,September ,October,November,December,Yearly average
Ireland,206.2,206,206.5,206.8,207.2,207.6,207.4,207.4,207.3,207.2,207.6,207.4,207.1
Turkey,97.13,97.65,98.27,99.14,100.17,100.03,100.83,101.35,102.25,101.56,101.01,100.6,100.53
